nome,valor,marca,categoria,loc,ano,km_rodados
FIAT IDEA,30900,FIAT,Esportivo,SP,2011,90000.0
VOLKSWAGEN PASSAT,64990,VOLKSWAGEN,Hatch,SP,2013,57000.0
DODGE RAM,89990,DODGE,Hatch,SP,2008,90000.0
RENAULT LOGAN,27990,RENAULT,Hatch,SP,2016,101000.0
CHEVROLET SPIN,36900,CHEVROLET,Hatch,SP,2014,63000.0
KIA CERATO,49790,KIA,Sedan,SP,2015,70394.0
HONDA CIVIC,81900,HONDA,Sedan,SP,2016,47800.0
VOLKSWAGEN UP!,53490,VOLKSWAGEN,Hatch,SP,2019,0.0
FIAT MOBI,38790,FIAT,Hatch,SP,2019,0.0
CITROEN C3,34990,CITROEN,Hatch,SP,2014,76017.0
RENAULT LOGAN,29990,RENAULT,Hatch,SP,2017,114000.0
VOLKSWAGEN VOYAGE,42990,VOLKSWAGEN,Hatch,SP,2018,10000.0
FORD COURIER,15900,FORD,Picape,SP,2004,240000.0
CHEVROLET COBALT,33000,CHEVROLET,Hatch,SP,2012,91809.0
LAND ROVER RANGE ROVER EVOQUE,119990,LAND ROVER,Hatch,SP,2014,130000.0
RENAULT DUSTER,66500,RENAULT,Hatch,SP,2019,24611.0
FIAT UNO,29790,FIAT,Hatch,SP,2017,39890.0
FIAT DOBLO,37000,FIAT,Mini Van,SP,2011,78000.0
PEUGEOT 3008,33790,PEUGEOT,Mini Van,SP,2011,89266.0
CHEVROLET COBALT,31990,CHEVROLET,Sedan,SP,2013,95000.0
TOYOTA COROLLA,69990,TOYOTA,Sedan,SP,2017,38000.0
RENAULT LOGAN,32890,RENAULT,Hatch,SP,2014,70000.0
VOLKSWAGEN JETTA,55790,VOLKSWAGEN,Sedan,SP,2015,68622.0
JAC J3,17900,JAC,Hatch,SP,2011,100000.0
VOLKSWAGEN SAVEIRO,40890,VOLKSWAGEN,Hatch,SP,2018,15560.0
FIAT STRADA,55890,FIAT,Hatch,SP,2018,28800.0
MITSUBISHI ASX,48900,MITSUBISHI,Hatch,SP,2012,87212.0
FIAT DOBLO,46900,FIAT,Utilitário,SP,2015,47500.0
TOYOTA PRIUS,95900,TOYOTA,Hatch,SP,2018,17680.0
FIAT 500,49900,FIAT,Hatch,SP,2014,41340.0
VOLKSWAGEN UP!,53490,VOLKSWAGEN,Hatch,SP,2019,0.0
FORD KA+,39900,FORD,Hatch,SP,2017,35700.0
RENAULT SANDERO,26900,RENAULT,Hatch,SP,2014,93000.0
RENAULT LOGAN,34990,RENAULT,Hatch,SP,2018,52000.0
CHEVROLET VECTRA,23990,CHEVROLET,Hatch,SP,2009,124900.0
FORD FIESTA,16490,FORD,Hatch,SP,2010,129980.0
CHEVROLET SPIN,41990,CHEVROLET,Mini Van,SP,2014,67104.0
FORD FIESTA,19990,FORD,Hatch,SP,2010,99000.0
VOLKSWAGEN GOL,8790,VOLKSWAGEN,Hatch,SP,1994,89900.0
VOLKSWAGEN GOL,34900,VOLKSWAGEN,Hatch,SP,2016,48975.0
VOLKSWAGEN SPACEFOX,29900,VOLKSWAGEN,Sedan,SP,2011,86309.0
CHEVROLET AGILE,32990,CHEVROLET,Hatch,SP,2013,43089.0
FORD RANGER,39900,FORD,Picape,SP,2009,144865.0
CHEVROLET CORSA,19999,CHEVROLET,Hatch,SP,2010,100000.0
FIAT UNO,20470,FIAT,Hatch,SP,2012,143030.0
TOYOTA COROLLA,42900,TOYOTA,Sedan,SP,2011,120800.0
HONDA CIVIC,99990,HONDA,Hatch,SP,2017,26000.0
FIAT PUNTO,26990,FIAT,Hatch,SP,2013,147605.0
HYUNDAI HB20,30900,HYUNDAI,Hatch,SP,2015,120000.0
FIAT TORO,91790,FIAT,Hatch,SP,2019,0.0
VOLKSWAGEN FOX,19999,VOLKSWAGEN,Hatch,SP,2010,151340.0
CHEVROLET CRUZE,43990,CHEVROLET,Hatch,SP,2014,70831.0
CITROEN AIRCROSS,32990,CITROEN,Hatch,SP,2012,59708.0
JEEP COMPASS,116900,JEEP,SUV,SP,2018,9000.0
FIAT PALIO,23890,FIAT,Hatch,SP,2015,46996.0
CHEVROLET ONIX,34990,CHEVROLET,Hatch,SP,2018,25000.0
